user,car,man,start
Molly Davis,FJ7PUJJ,Mercedes,2022-02-01 20:45:48
Laura Baker,JFGJ60A,Mercedes,2022-02-01 20:47:24
William Diaz,FGL1X62,Mercedes,2022-02-01 20:49:21
Hubert Grissett,H3NP56Y,Mercedes,2022-02-01 20:52:24
Douglas Fitch,DR7TGF0,Mercedes,2022-02-01 20:53:28
Robert Shake,G16MEAR,Mercedes,2022-02-01 20:54:46
Lucille Bouchard,8NMSMII,Mercedes,2022-02-01 20:56:05
Douglas Fitch,AB7TGX0,Mercedes,2022-02-01 20:57:31
Laura Baker,FJ7PUJJ,Mercedes,2022-02-01 20:58:01
Frank Cover,JFGJ60A,Mercedes,2022-02-01 20:58:56
Wanda Carver,FGL1X62,Mercedes,2022-02-01 21:00:05
Mayme Jones,H3NP56Y,Mercedes,2022-02-01 21:05:58
Douglas Fitch,RT5Y6ZX,Mercedes,2022-02-01 21:09:50
Douglas Fitch,ADFTR34,Mercedes,2022-02-01 21:10:14
Kevin Rodriguez,DFU4HJF,Mercedes,2022-02-01 20:46:48
Catherine Crandell,784JD93,Mercedes,2022-02-01 20:47:17
Douglas Fitch,UF94JF,Mercedes,2022-02-01 20:47:42
William Diaz,AL3SLS,Mercedes,2022-02-01 20:48:22
Mark Haws,A49CKED,Mercedes,2022-02-01 20:49:30
Kevin Rodriguez,045MDAX,Mercedes,2022-02-01 20:49:56
Jane McPeak,A49CKED,Mercedes,2022-02-01 20:52:55
Richard Tillman,045MDAX,Mercedes,2022-02-01 20:53:21
Mark Haws,D74HJDK,Mercedes,2022-02-01 20:54:11
Kevin Rodriguez,UF94JF,Mercedes,2022-02-01 20:56:07
Mark Haws,AL3SLS,Mercedes,2022-02-01 20:58:23
Douglas Fitch,A49CKED,Mercedes,2022-02-01 21:00:19
Kevin Rodriguez,FJK48FJ,Mercedes,2022-02-01 21:02:01
