"user","rid","manufacturer","model","plate","status"
"Laura Baker",1,"Iveco","Daily","HHST532","START"
"Wayne Flower",2,"Fiat","Ducato","DM89JKD","START"
"Ann Duppstadt",3,"Iveco","Daily","KMCIOWM","START"
"Geneva Crews",4,"Iveco","Daily","674GHDF","START"
"Richard Tillman",5,"Fiat","Ducato","JSDJFI3","START"
"Henry Romero",6,"Iveco","Daily","H39DXCO","START"
"Richard Tillman",5,"Fiat","Ducato","JSDJFI3","END"
"Wayne Flower",2,"Fiat","Ducato","DM89JKD","END"
"Laura Baker",1,"Iveco","Daily","HHST532","END"
"Hubert Grissett",7,"Iveco","Daily","HHST532","START"
"Hubert Grissett",8,"Fiat","Ducato","DM89JKD","START"
"Ann Duppstadt",3,"Iveco","Daily","KMCIOWM","END"
"Richard Tillman",9,"Iveco","Daily","KMCIOWM","START"
"Henry Romero",10,"Fiat","Ducato","JSDJFI3","START"
"Hubert Grissett",7,"Iveco","Daily","HHST532","END"
"Henry Romero",6,"Iveco","Daily","H39DXCO","END"
"Richard Tillman",9,"Iveco","Daily","KMCIOWM","END"
"Geneva Crews",11,"Iveco","Daily","H39DXCO","START"
"Geneva Crews",11,"Iveco","Daily","H39DXCO","END"
"Geneva Crews",4,"Iveco","Daily","674GHDF","END"
"Henry Romero",10,"Fiat","Ducato","JSDJFI3","END"
"Hubert Grissett",8,"Fiat","Ducato","DM89JKD","END"
